sample: 0, mc_sample: 10, mean reward: -415.707, std reward: 30.097
sample: 1, mc_sample: 10, mean reward: 17.165, std reward: 26.072
sample: 2, mc_sample: 10, mean reward: 29.505, std reward: 21.655
sample: 3, mc_sample: 10, mean reward: -407.415, std reward: 23.211
sample: 4, mc_sample: 10, mean reward: -403.566, std reward: 29.191
sample: 5, mc_sample: 10, mean reward: -411.334, std reward: 22.931
sample: 6, mc_sample: 10, mean reward: 31.256, std reward: 22.896
sample: 7, mc_sample: 10, mean reward: 26.836, std reward: 37.464
sample: 8, mc_sample: 10, mean reward: -401.147, std reward: 25.654
sample: 9, mc_sample: 10, mean reward: -419.232, std reward: 29.62
sample: 10, mc_sample: 10, mean reward: 12.346, std reward: 21.364
sample: 11, mc_sample: 10, mean reward: 31.104, std reward: 15.574
sample: 12, mc_sample: 10, mean reward: 17.96, std reward: 24.864
sample: 13, mc_sample: 10, mean reward: 25.031, std reward: 34.177
sample: 14, mc_sample: 10, mean reward: 15.163, std reward: 38.768
sample: 15, mc_sample: 10, mean reward: -399.189, std reward: 26.874
sample: 16, mc_sample: 10, mean reward: 11.616, std reward: 36.754
sample: 17, mc_sample: 10, mean reward: -416.667, std reward: 24.085
sample: 18, mc_sample: 10, mean reward: -409.713, std reward: 18.826
sample: 19, mc_sample: 10, mean reward: 28.051, std reward: 20.676
sample: 20, mc_sample: 10, mean reward: -432.053, std reward: 25.144
sample: 21, mc_sample: 10, mean reward: -424.284, std reward: 32.411
sample: 22, mc_sample: 10, mean reward: -427.192, std reward: 25.186
sample: 23, mc_sample: 10, mean reward: -419.739, std reward: 43.552
sample: 24, mc_sample: 10, mean reward: 49.914, std reward: 27.276
sample: 25, mc_sample: 10, mean reward: -436.443, std reward: 25.817
sample: 26, mc_sample: 10, mean reward: 30.717, std reward: 24.065
sample: 27, mc_sample: 10, mean reward: 32.95, std reward: 25.725
sample: 28, mc_sample: 10, mean reward: -421.74, std reward: 27.502
sample: 29, mc_sample: 10, mean reward: 48.854, std reward: 14.885
sample: 30, mc_sample: 10, mean reward: -442.701, std reward: 20.541
sample: 31, mc_sample: 10, mean reward: -438.992, std reward: 30.011
sample: 32, mc_sample: 10, mean reward: -447.151, std reward: 24.939
sample: 33, mc_sample: 10, mean reward: -441.732, std reward: 28.6
sample: 34, mc_sample: 10, mean reward: 61.139, std reward: 18.803
sample: 35, mc_sample: 10, mean reward: -434.882, std reward: 24.114
sample: 36, mc_sample: 10, mean reward: 51.932, std reward: 43.534
sample: 37, mc_sample: 10, mean reward: -445.299, std reward: 32.68
sample: 38, mc_sample: 10, mean reward: 68.384, std reward: 28.528
sample: 39, mc_sample: 10, mean reward: -441.206, std reward: 23.106
sample: 40, mc_sample: 10, mean reward: -433.238, std reward: 31.69
sample: 41, mc_sample: 10, mean reward: 57.608, std reward: 17.633
sample: 42, mc_sample: 10, mean reward: 52.846, std reward: 27.888
sample: 43, mc_sample: 10, mean reward: -429.198, std reward: 21.418
sample: 44, mc_sample: 10, mean reward: -416.32, std reward: 22.534
sample: 45, mc_sample: 10, mean reward: 53.121, std reward: 20.943
sample: 46, mc_sample: 10, mean reward: 63.272, std reward: 24.092
sample: 47, mc_sample: 10, mean reward: 65.87, std reward: 30.905
sample: 48, mc_sample: 10, mean reward: 60.33, std reward: 17.914
sample: 49, mc_sample: 10, mean reward: -425.025, std reward: 40.106
sample: 50, mc_sample: 10, mean reward: 44.655, std reward: 28.259
sample: 51, mc_sample: 10, mean reward: 43.06, std reward: 17.681
sample: 52, mc_sample: 10, mean reward: -438.88, std reward: 28.869
sample: 53, mc_sample: 10, mean reward: -421.922, std reward: 34.998
sample: 54, mc_sample: 10, mean reward: -431.055, std reward: 32.023
sample: 55, mc_sample: 10, mean reward: -434.584, std reward: 32.452
sample: 56, mc_sample: 10, mean reward: 52.548, std reward: 29.172
sample: 57, mc_sample: 10, mean reward: 59.683, std reward: 32.306
sample: 58, mc_sample: 10, mean reward: 53.642, std reward: 28.287
sample: 59, mc_sample: 10, mean reward: -434.406, std reward: 30.277
sample: 60, mc_sample: 10, mean reward: 31.418, std reward: 24.801
sample: 61, mc_sample: 10, mean reward: -415.977, std reward: 27.465
sample: 62, mc_sample: 10, mean reward: 56.542, std reward: 28.527
sample: 63, mc_sample: 10, mean reward: -420.221, std reward: 21.193
sample: 64, mc_sample: 10, mean reward: -413.429, std reward: 30.094
sample: 65, mc_sample: 10, mean reward: -425.431, std reward: 29.825
sample: 66, mc_sample: 10, mean reward: -416.585, std reward: 20.363
sample: 67, mc_sample: 10, mean reward: 37.037, std reward: 16.213
sample: 68, mc_sample: 10, mean reward: 20.49, std reward: 15.691
sample: 69, mc_sample: 10, mean reward: 43.075, std reward: 24.051
sample: 70, mc_sample: 10, mean reward: -410.365, std reward: 31.004
sample: 71, mc_sample: 10, mean reward: 30.493, std reward: 27.119
sample: 72, mc_sample: 10, mean reward: 2.025, std reward: 27.603
sample: 73, mc_sample: 10, mean reward: 22.421, std reward: 28.356
sample: 74, mc_sample: 10, mean reward: -395.922, std reward: 28.524
sample: 75, mc_sample: 10, mean reward: 16.509, std reward: 25.586
sample: 76, mc_sample: 10, mean reward: -408.081, std reward: 27.594
sample: 77, mc_sample: 10, mean reward: 13.159, std reward: 20.793
sample: 78, mc_sample: 10, mean reward: -417.601, std reward: 18.91
sample: 79, mc_sample: 10, mean reward: -399.437, std reward: 27.814
sample: 80, mc_sample: 10, mean reward: -430.067, std reward: 17.018
sample: 81, mc_sample: 10, mean reward: -418.48, std reward: 23.643
sample: 82, mc_sample: 10, mean reward: 37.077, std reward: 29.119
sample: 83, mc_sample: 10, mean reward: -412.072, std reward: 29.981
sample: 84, mc_sample: 10, mean reward: -415.506, std reward: 23.759
sample: 85, mc_sample: 10, mean reward: -405.045, std reward: 29.835
sample: 86, mc_sample: 10, mean reward: -395.037, std reward: 28.431
sample: 87, mc_sample: 10, mean reward: 31.124, std reward: 23.727
sample: 88, mc_sample: 10, mean reward: -406.375, std reward: 16.095
sample: 89, mc_sample: 10, mean reward: 4.171, std reward: 22.006
sample: 90, mc_sample: 10, mean reward: 9.321, std reward: 23.995
sample: 91, mc_sample: 10, mean reward: 27.527, std reward: 30.692
sample: 92, mc_sample: 10, mean reward: 19.877, std reward: 27.727
sample: 93, mc_sample: 10, mean reward: 15.743, std reward: 30.717
sample: 94, mc_sample: 10, mean reward: -396.431, std reward: 13.111
sample: 95, mc_sample: 10, mean reward: -404.612, std reward: 26.19
sample: 96, mc_sample: 10, mean reward: 20.368, std reward: 16.191
sample: 97, mc_sample: 10, mean reward: -409.314, std reward: 26.589
sample: 98, mc_sample: 10, mean reward: -390.82, std reward: 19.54
sample: 99, mc_sample: 10, mean reward: 22.768, std reward: 26.9
sample: 100, mc_sample: 10, mean reward: -16.438, std reward: 27.283
sample: 101, mc_sample: 10, mean reward: -6.145, std reward: 30.803
sample: 102, mc_sample: 10, mean reward: 1.495, std reward: 27.132
sample: 103, mc_sample: 10, mean reward: -1.082, std reward: 32.626
sample: 104, mc_sample: 10, mean reward: -388.048, std reward: 24.83
sample: 105, mc_sample: 10, mean reward: -12.921, std reward: 24.134
sample: 106, mc_sample: 10, mean reward: -388.294, std reward: 24.113
sample: 107, mc_sample: 10, mean reward: -2.321, std reward: 19.515
sample: 108, mc_sample: 10, mean reward: -3.99, std reward: 28.122
sample: 109, mc_sample: 10, mean reward: -0.719, std reward: 14.607
sample: 110, mc_sample: 10, mean reward: -25.072, std reward: 22.357
sample: 111, mc_sample: 10, mean reward: -372.771, std reward: 20.487
sample: 112, mc_sample: 10, mean reward: -23.845, std reward: 17.288
sample: 113, mc_sample: 10, mean reward: -393.41, std reward: 16.697
sample: 114, mc_sample: 10, mean reward: -381.993, std reward: 20.005
sample: 115, mc_sample: 10, mean reward: -383.856, std reward: 22.061
sample: 116, mc_sample: 10, mean reward: -14.148, std reward: 24.4
sample: 117, mc_sample: 10, mean reward: -371.669, std reward: 26.477
sample: 118, mc_sample: 10, mean reward: -0.421, std reward: 23.097
sample: 119, mc_sample: 10, mean reward: -11.005, std reward: 20.315
sample: 120, mc_sample: 10, mean reward: -12.14, std reward: 22.486
sample: 121, mc_sample: 10, mean reward: 1.369, std reward: 30.893
sample: 122, mc_sample: 10, mean reward: 6.709, std reward: 20.154
sample: 123, mc_sample: 10, mean reward: -399.916, std reward: 25.782
sample: 124, mc_sample: 10, mean reward: 0.429, std reward: 20.618
sample: 125, mc_sample: 10, mean reward: -10.079, std reward: 26.665
sample: 126, mc_sample: 10, mean reward: -384.173, std reward: 21.136
sample: 127, mc_sample: 10, mean reward: -2.899, std reward: 29.711
sample: 128, mc_sample: 10, mean reward: 5.177, std reward: 20.708
sample: 129, mc_sample: 10, mean reward: -10.529, std reward: 22.67
sample: 130, mc_sample: 10, mean reward: 30.344, std reward: 34.892
sample: 131, mc_sample: 10, mean reward: -403.889, std reward: 18.275
sample: 132, mc_sample: 10, mean reward: 7.803, std reward: 30.855
sample: 133, mc_sample: 10, mean reward: 0.617, std reward: 29.996
sample: 134, mc_sample: 10, mean reward: -428.305, std reward: 30.784
sample: 135, mc_sample: 10, mean reward: 29.41, std reward: 31.533
sample: 136, mc_sample: 10, mean reward: -412.317, std reward: 37.358
sample: 137, mc_sample: 10, mean reward: 15.27, std reward: 17.23
sample: 138, mc_sample: 10, mean reward: 27.513, std reward: 28.175
sample: 139, mc_sample: 10, mean reward: -410.0, std reward: 22.531
sample: 140, mc_sample: 10, mean reward: -421.013, std reward: 31.592
sample: 141, mc_sample: 10, mean reward: 57.768, std reward: 24.559
sample: 142, mc_sample: 10, mean reward: -441.712, std reward: 25.489
